instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,windspeed_category,waktu_hari,windspeed_category_day
1050,2011-02-16,1,0,2,11,0,3,1,1,0.34,0.303,0.34,0.2985,7,59,66,Sedang,Siang (Rekreasi),Sedang
1051,2011-02-16,1,0,2,12,0,3,1,1,0.38,0.3939,0.32,0.3284,14,72,86,Tinggi,Siang (Rekreasi),Sedang
1052,2011-02-16,1,0,2,13,0,3,1,1,0.42,0.4242,0.3,0.3582,13,80,93,Tinggi,Siang (Rekreasi),Sedang
1053,2011-02-16,1,0,2,14,0,3,1,1,0.46,0.4545,0.28,0.4179,17,65,82,Tinggi,Siang (Rekreasi),Sedang
1054,2011-02-16,1,0,2,15,0,3,1,1,0.46,0.4545,0.28,0.4179,35,82,117,Tinggi,Siang (Rekreasi),Sedang
1055,2011-02-16,1,0,2,16,0,3,1,1,0.46,0.4545,0.31,0.3881,26,96,122,Tinggi,Sore (Pulang),Sedang
1056,2011-02-16,1,0,2,17,0,3,1,1,0.46,0.4545,0.28,0.2836,11,244,255,Sedang,Sore (Pulang),Sedang
1057,2011-02-16,1,0,2,18,0,3,1,1,0.4,0.4091,0.4,0.2239,20,202,222,Sedang,Sore (Pulang),Sedang
1058,2011-02-16,1,0,2,19,0,3,1,1,0.34,0.3182,0.53,0.2239,18,143,161,Sedang,Sore (Pulang),Sedang
1059,2011-02-16,1,0,2,20,0,3,1,1,0.38,0.3939,0.43,0.194,10,108,118,Sedang,Malam/Dini Hari,Sedang
1060,2011-02-16,1,0,2,21,0,3,1,1,0.36,0.3485,0.46,0.194,5,87,92,Sedang,Malam/Dini Hari,Sedang
1061,2011-02-16,1,0,2,22,0,3,1,1,0.34,0.3333,0.53,0.194,12,61,73,Sedang,Malam/Dini Hari,Sedang
1062,2011-02-16,1,0,2,23,0,3,1,1,0.38,0.3939,0.4,0.2239,2,31,33,Sedang,Malam/Dini Hari,Sedang
1063,2011-02-17,1,0,2,0,0,4,1,1,0.34,0.3333,0.53,0.194,1,16,17,Sedang,Malam/Dini Hari,Sedang
1064,2011-02-17,1,0,2,1,0,4,1,1,0.34,0.3182,0.53,0.2239,0,6,6,Sedang,Malam/Dini Hari,Sedang
1065,2011-02-17,1,0,2,2,0,4,1,2,0.34,0.3182,0.53,0.2239,2,4,6,Sedang,Malam/Dini Hari,Sedang
1066,2011-02-17,1,0,2,3,0,4,1,1,0.34,0.3333,0.53,0.194,3,1,4,Sedang,Malam/Dini Hari,Sedang
1067,2011-02-17,1,0,2,4,0,4,1,1,0.32,0.3182,0.57,0.194,3,1,4,Sedang,Malam/Dini Hari,Sedang
1068,2011-02-17,1,0,2,5,0,4,1,1,0.32,0.3333,0.66,0.0896,1,11,12,Rendah,Pagi (Berangkat),Sedang
1069,2011-02-17,1,0,2,6,0,4,1,1,0.3,0.303,0.7,0.1343,3,44,47,Rendah,Pagi (Berangkat),Sedang
1070,2011-02-17,1,0,2,7,0,4,1,1,0.32,0.3333,0.57,0.1045,7,119,126,Rendah,Pagi (Berangkat),Sedang
1071,2011-02-17,1,0,2,8,0,4,1,1,0.32,0.3333,0.57,0.0896,18,267,285,Rendah,Pagi (Berangkat),Sedang
1072,2011-02-17,1,0,2,9,0,4,1,1,0.36,0.3485,0.57,0.194,16,163,179,Sedang,Pagi (Berangkat),Sedang
1073,2011-02-17,1,0,2,10,0,4,1,1,0.38,0.3939,0.54,0.194,18,70,88,Sedang,Siang (Rekreasi),Sedang
1074,2011-02-17,1,0,2,11,0,4,1,2,0.44,0.4394,0.44,0.2537,19,71,90,Sedang,Siang (Rekreasi),Sedang
1075,2011-02-17,1,0,2,12,0,4,1,1,0.48,0.4697,0.41,0.2239,15,86,101,Sedang,Siang (Rekreasi),Sedang
1076,2011-02-17,1,0,2,13,0,4,1,1,0.54,0.5152,0.34,0.2239,15,108,123,Sedang,Siang (Rekreasi),Sedang
1077,2011-02-17,1,0,2,14,0,4,1,1,0.6,0.6212,0.31,0.2239,26,55,81,Sedang,Siang (Rekreasi),Sedang
1078,2011-02-17,1,0,2,15,0,4,1,1,0.6,0.6061,0.28,0.2537,15,91,106,Sedang,Siang (Rekreasi),Sedang
1079,2011-02-17,1,0,2,16,0,4,1,2,0.56,0.5303,0.35,0.2985,29,117,146,Sedang,Sore (Pulang),Sedang
1080,2011-02-17,1,0,2,17,0,4,1,2,0.58,0.5455,0.32,0.2985,18,256,274,Sedang,Sore (Pulang),Sedang
1081,2011-02-17,1,0,2,18,0,4,1,2,0.54,0.5152,0.42,0.2836,11,211,222,Sedang,Sore (Pulang),Sedang
1082,2011-02-17,1,0,2,19,0,4,1,1,0.48,0.4697,0.55,0.3284,14,161,175,Tinggi,Sore (Pulang),Sedang
1083,2011-02-17,1,0,2,20,0,4,1,1,0.48,0.4697,0.59,0.3284,8,131,139,Tinggi,Malam/Dini Hari,Sedang
1084,2011-02-17,1,0,2,21,0,4,1,1,0.52,0.5,0.55,0.3881,5,119,124,Tinggi,Malam/Dini Hari,Sedang
1085,2011-02-17,1,0,2,22,0,4,1,1,0.5,0.4848,0.59,0.2836,8,68,76,Sedang,Malam/Dini Hari,Sedang
1086,2011-02-17,1,0,2,23,0,4,1,1,0.46,0.4545,0.67,0.2985,4,40,44,Sedang,Malam/Dini Hari,Sedang
1087,2011-02-18,1,0,2,0,0,5,1,1,0.44,0.4394,0.72,0.2836,12,20,32,Sedang,Malam/Dini Hari,Sedang
1088,2011-02-18,1,0,2,1,0,5,1,1,0.44,0.4394,0.72,0.2239,1,7,8,Sedang,Malam/Dini Hari,Sedang
1089,2011-02-18,1,0,2,2,0,5,1,1,0.44,0.4394,0.72,0.2836,2,5,7,Sedang,Malam/Dini Hari,Sedang
1090,2011-02-18,1,0,2,3,0,5,1,1,0.46,0.4545,0.67,0.2537,2,6,8,Sedang,Malam/Dini Hari,Sedang
1091,2011-02-18,1,0,2,4,0,5,1,1,0.46,0.4545,0.67,0.2537,0,1,1,Sedang,Malam/Dini Hari,Sedang
1092,2011-02-18,1,0,2,5,0,5,1,2,0.46,0.4545,0.67,0.1045,1,6,7,Rendah,Pagi (Berangkat),Sedang
1093,2011-02-18,1,0,2,6,0,5,1,2,0.44,0.4394,0.72,0.1642,2,48,50,Sedang,Pagi (Berangkat),Sedang
1094,2011-02-18,1,0,2,7,0,5,1,2,0.42,0.4242,0.77,0.2239,8,108,116,Sedang,Pagi (Berangkat),Sedang
1095,2011-02-18,1,0,2,8,0,5,1,2,0.42,0.4242,0.77,0.194,26,246,272,Sedang,Pagi (Berangkat),Sedang
1096,2011-02-18,1,0,2,9,0,5,1,2,0.42,0.4242,0.77,0.194,15,154,169,Sedang,Pagi (Berangkat),Sedang
1097,2011-02-18,1,0,2,10,0,5,1,2,0.44,0.4394,0.72,0.2239,17,78,95,Sedang,Siang (Rekreasi),Sedang
1098,2011-02-18,1,0,2,11,0,5,1,1,0.44,0.4394,0.72,0.1642,31,82,113,Sedang,Siang (Rekreasi),Sedang
1099,2011-02-18,1,0,2,12,0,5,1,1,0.5,0.4848,0.59,0.194,59,126,185,Sedang,Siang (Rekreasi),Sedang
1100,2011-02-18,1,0,2,13,0,5,1,1,0.6,0.6212,0.43,0.194,45,131,176,Sedang,Siang (Rekreasi),Sedang
1101,2011-02-18,1,0,2,14,0,5,1,1,0.66,0.6212,0.36,0.2985,73,118,191,Sedang,Siang (Rekreasi),Sedang
1102,2011-02-18,1,0,2,15,0,5,1,1,0.66,0.6212,0.36,0.3284,55,117,172,Tinggi,Siang (Rekreasi),Sedang
1103,2011-02-18,1,0,2,16,0,5,1,1,0.66,0.6212,0.36,0.2836,68,164,232,Sedang,Sore (Pulang),Sedang
1104,2011-02-18,1,0,2,17,0,5,1,1,0.66,0.6212,0.34,0.3582,52,275,327,Tinggi,Sore (Pulang),Sedang
1105,2011-02-18,1,0,2,18,0,5,1,1,0.64,0.6212,0.33,0.3284,29,195,224,Tinggi,Sore (Pulang),Sedang
1106,2011-02-18,1,0,2,19,0,5,1,1,0.62,0.6212,0.29,0.5821,16,146,162,Ekstrem,Sore (Pulang),Sedang
1107,2011-02-18,1,0,2,20,0,5,1,1,0.6,0.6212,0.31,0.194,19,105,124,Sedang,Malam/Dini Hari,Sedang
1108,2011-02-18,1,0,2,21,0,5,1,1,0.58,0.5455,0.21,0.4925,11,61,72,Ekstrem,Malam/Dini Hari,Sedang
1109,2011-02-18,1,0,2,22,0,5,1,1,0.54,0.5152,0.1,0.2537,19,88,107,Sedang,Malam/Dini Hari,Sedang
1110,2011-02-18,1,0,2,23,0,5,1,1,0.52,0.5,0.08,0.2836,16,61,77,Sedang,Malam/Dini Hari,Sedang
1111,2011-02-19,1,0,2,0,0,6,0,1,0.48,0.4697,0.12,0.4925,6,23,29,Ekstrem,Malam/Dini Hari,Ekstrem
1112,2011-02-19,1,0,2,1,0,6,0,1,0.46,0.4545,0.14,0.4179,10,21,31,Tinggi,Malam/Dini Hari,Ekstrem
1113,2011-02-19,1,0,2,2,0,6,0,1,0.44,0.4394,0.13,0.3881,3,14,17,Tinggi,Malam/Dini Hari,Ekstrem
1114,2011-02-19,1,0,2,3,0,6,0,1,0.42,0.4242,0.14,0.2985,0,7,7,Sedang,Malam/Dini Hari,Ekstrem
1115,2011-02-19,1,0,2,4,0,6,0,1,0.4,0.4091,0.15,0.3284,0,3,3,Tinggi,Malam/Dini Hari,Ekstrem
1116,2011-02-19,1,0,2,5,0,6,0,1,0.4,0.4091,0.15,0.3284,0,3,3,Tinggi,Pagi (Berangkat),Ekstrem
1117,2011-02-19,1,0,2,6,0,6,0,1,0.4,0.4091,0.17,0.4179,3,3,6,Tinggi,Pagi (Berangkat),Ekstrem
1118,2011-02-19,1,0,2,7,0,6,0,1,0.38,0.3939,0.17,0.5224,6,16,22,Ekstrem,Pagi (Berangkat),Ekstrem
1119,2011-02-19,1,0,2,8,0,6,0,1,0.38,0.3939,0.17,0.5821,9,36,45,Ekstrem,Pagi (Berangkat),Ekstrem
1120,2011-02-19,1,0,2,9,0,6,0,1,0.4,0.4091,0.16,0.6567,18,37,55,Ekstrem,Pagi (Berangkat),Ekstrem
1121,2011-02-19,1,0,2,10,0,6,0,1,0.42,0.4242,0.16,0.5821,34,72,106,Ekstrem,Siang (Rekreasi),Ekstrem
1122,2011-02-19,1,0,2,11,0,6,0,1,0.44,0.4394,0.16,0.5821,47,76,123,Ekstrem,Siang (Rekreasi),Ekstrem
1123,2011-02-19,1,0,2,12,0,6,0,1,0.44,0.4394,0.18,0.4925,38,81,119,Ekstrem,Siang (Rekreasi),Ekstrem
1124,2011-02-19,1,0,2,13,0,6,0,1,0.44,0.4394,0.16,0.6119,52,103,155,Ekstrem,Siang (Rekreasi),Ekstrem
1125,2011-02-19,1,0,2,14,0,6,0,1,0.46,0.4545,0.15,0.6567,102,94,196,Ekstrem,Siang (Rekreasi),Ekstrem
1126,2011-02-19,1,0,2,15,0,6,0,1,0.44,0.4394,0.16,0.7463,84,87,171,Ekstrem,Siang (Rekreasi),Ekstrem
1127,2011-02-19,1,0,2,16,0,6,0,1,0.44,0.4394,0.16,0.6418,39,81,120,Ekstrem,Sore (Pulang),Ekstrem
1128,2011-02-19,1,0,2,17,0,6,0,1,0.42,0.4242,0.19,0.6119,36,91,127,Ekstrem,Sore (Pulang),Ekstrem
1129,2011-02-19,1,0,2,18,0,6,0,1,0.36,0.3182,0.25,0.4478,21,67,88,Tinggi,Sore (Pulang),Ekstrem
1130,2011-02-19,1,0,2,19,0,6,0,1,0.34,0.303,0.29,0.3582,5,54,59,Tinggi,Sore (Pulang),Ekstrem
1131,2011-02-19,1,0,2,20,0,6,0,1,0.32,0.2879,0.28,0.5224,9,38,47,Ekstrem,Malam/Dini Hari,Ekstrem
1132,2011-02-19,1,0,2,21,0,6,0,1,0.32,0.2727,0.26,0.5522,4,29,33,Ekstrem,Malam/Dini Hari,Ekstrem
1133,2011-02-19,1,0,2,22,0,6,0,1,0.3,0.2576,0.28,0.4925,2,42,44,Ekstrem,Malam/Dini Hari,Ekstrem
1134,2011-02-19,1,0,2,23,0,6,0,1,0.28,0.2424,0.33,0.4478,4,25,29,Tinggi,Malam/Dini Hari,Ekstrem
1135,2011-02-20,1,0,2,0,0,0,0,1,0.26,0.2121,0.35,0.4478,3,14,17,Tinggi,Malam/Dini Hari,Sedang
1136,2011-02-20,1,0,2,1,0,0,0,1,0.24,0.197,0.41,0.4627,5,11,16,Ekstrem,Malam/Dini Hari,Sedang
1137,2011-02-20,1,0,2,2,0,0,0,1,0.24,0.197,0.41,0.5522,0,17,17,Ekstrem,Malam/Dini Hari,Sedang
1138,2011-02-20,1,0,2,3,0,0,0,1,0.22,0.1818,0.44,0.5522,9,9,18,Ekstrem,Malam/Dini Hari,Sedang
1139,2011-02-20,1,0,2,4,0,0,0,1,0.22,0.1818,0.44,0.5522,0,1,1,Ekstrem,Malam/Dini Hari,Sedang
1140,2011-02-20,1,0,2,6,0,0,0,1,0.2,0.1818,0.47,0.2985,1,1,2,Sedang,Pagi (Berangkat),Sedang
1141,2011-02-20,1,0,2,7,0,0,0,1,0.18,0.1667,0.51,0.2537,0,2,2,Sedang,Pagi (Berangkat),Sedang
1142,2011-02-20,1,0,2,8,0,0,0,1,0.2,0.2273,0.51,0.1045,2,22,24,Rendah,Pagi (Berangkat),Sedang
1143,2011-02-20,1,0,2,9,0,0,0,1,0.22,0.2121,0.47,0.2836,7,48,55,Sedang,Pagi (Berangkat),Sedang
1144,2011-02-20,1,0,2,10,0,0,0,2,0.26,0.2576,0.41,0.194,34,70,104,Sedang,Siang (Rekreasi),Sedang
1145,2011-02-20,1,0,2,11,0,0,0,2,0.3,0.303,0.33,0.1642,72,89,161,Sedang,Siang (Rekreasi),Sedang
1146,2011-02-20,1,0,2,12,0,0,0,1,0.3,0.3182,0.33,0.1045,62,120,182,Rendah,Siang (Rekreasi),Sedang
1147,2011-02-20,1,0,2,13,0,0,0,1,0.34,0.3333,0.29,0.0,76,122,198,Rendah,Siang (Rekreasi),Sedang
1148,2011-02-20,1,0,2,14,0,0,0,1,0.36,0.3485,0.27,0.1642,108,104,212,Sedang,Siang (Rekreasi),Sedang
1149,2011-02-20,1,0,2,15,0,0,0,1,0.36,0.3636,0.27,0.0896,66,102,168,Rendah,Siang (Rekreasi),Sedang
1150,2011-02-20,1,0,2,16,0,0,0,1,0.36,0.3636,0.29,0.0896,59,88,147,Rendah,Sore (Pulang),Sedang
1151,2011-02-20,1,0,2,17,0,0,0,1,0.34,0.3485,0.33,0.1642,60,86,146,Sedang,Sore (Pulang),Sedang
1152,2011-02-20,1,0,2,18,0,0,0,2,0.34,0.3333,0.36,0.1343,30,71,101,Rendah,Sore (Pulang),Sedang
1153,2011-02-20,1,0,2,19,0,0,0,2,0.34,0.3333,0.36,0.1343,3,39,42,Rendah,Sore (Pulang),Sedang
1154,2011-02-20,1,0,2,20,0,0,0,2,0.34,0.3636,0.42,0.0,12,30,42,Rendah,Malam/Dini Hari,Sedang
1155,2011-02-20,1,0,2,21,0,0,0,2,0.32,0.3485,0.53,0.0,17,39,56,Rendah,Malam/Dini Hari,Sedang
1156,2011-02-20,1,0,2,22,0,0,0,2,0.32,0.303,0.57,0.2239,4,43,47,Sedang,Malam/Dini Hari,Sedang
1157,2011-02-20,1,0,2,23,0,0,0,2,0.3,0.303,0.61,0.1642,9,45,54,Sedang,Malam/Dini Hari,Sedang
1158,2011-02-21,1,0,2,0,1,1,0,2,0.34,0.303,0.42,0.3284,7,30,37,Tinggi,Malam/Dini Hari,Tinggi
1159,2011-02-21,1,0,2,1,1,1,0,2,0.34,0.303,0.42,0.3284,2,11,13,Tinggi,Malam/Dini Hari,Tinggi
1160,2011-02-21,1,0,2,2,1,1,0,2,0.34,0.303,0.42,0.3284,1,3,4,Tinggi,Malam/Dini Hari,Tinggi
1161,2011-02-21,1,0,2,3,1,1,0,2,0.34,0.303,0.42,0.2985,2,3,5,Sedang,Malam/Dini Hari,Tinggi
1162,2011-02-21,1,0,2,4,1,1,0,1,0.32,0.3182,0.45,0.1642,1,0,1,Sedang,Malam/Dini Hari,Tinggi
1163,2011-02-21,1,0,2,5,1,1,0,2,0.34,0.3636,0.36,0.0,1,2,3,Rendah,Pagi (Berangkat),Tinggi
1164,2011-02-21,1,0,2,6,1,1,0,2,0.42,0.4242,0.26,0.2985,2,6,8,Sedang,Pagi (Berangkat),Tinggi
1165,2011-02-21,1,0,2,7,1,1,0,2,0.42,0.4242,0.26,0.2836,3,16,19,Sedang,Pagi (Berangkat),Tinggi
1166,2011-02-21,1,0,2,8,1,1,0,2,0.32,0.303,0.57,0.2985,7,56,63,Sedang,Pagi (Berangkat),Tinggi
1167,2011-02-21,1,0,2,9,1,1,0,2,0.32,0.303,0.57,0.2836,11,46,57,Sedang,Pagi (Berangkat),Tinggi
1168,2011-02-21,1,0,2,10,1,1,0,2,0.32,0.303,0.57,0.2537,29,52,81,Sedang,Siang (Rekreasi),Tinggi
1169,2011-02-21,1,0,2,11,1,1,0,2,0.32,0.3333,0.57,0.1045,20,70,90,Rendah,Siang (Rekreasi),Tinggi
1170,2011-02-21,1,0,2,12,1,1,0,2,0.32,0.3182,0.66,0.194,26,67,93,Sedang,Siang (Rekreasi),Tinggi
1171,2011-02-21,1,0,2,13,1,1,0,3,0.3,0.2727,0.81,0.3284,28,75,103,Tinggi,Siang (Rekreasi),Tinggi
1172,2011-02-21,1,0,2,14,1,1,0,2,0.32,0.303,0.76,0.2537,15,101,116,Sedang,Siang (Rekreasi),Tinggi
1173,2011-02-21,1,0,2,15,1,1,0,2,0.3,0.2727,0.7,0.4478,11,76,87,Tinggi,Siang (Rekreasi),Tinggi
1174,2011-02-21,1,0,2,16,1,1,0,3,0.28,0.2424,0.75,0.4179,8,48,56,Tinggi,Sore (Pulang),Tinggi
1175,2011-02-21,1,0,2,17,1,1,0,2,0.28,0.2576,0.75,0.3881,18,62,80,Tinggi,Sore (Pulang),Tinggi
1176,2011-02-21,1,0,2,18,1,1,0,2,0.24,0.2121,0.87,0.3582,2,64,66,Tinggi,Sore (Pulang),Tinggi
1177,2011-02-21,1,0,2,19,1,1,0,2,0.24,0.2121,0.87,0.3582,0,49,49,Tinggi,Sore (Pulang),Tinggi
1178,2011-02-21,1,0,2,20,1,1,0,3,0.24,0.2121,0.81,0.3881,0,29,29,Tinggi,Malam/Dini Hari,Tinggi
1179,2011-02-21,1,0,2,21,1,1,0,3,0.22,0.197,0.75,0.4478,1,33,34,Tinggi,Malam/Dini Hari,Tinggi
1180,2011-02-21,1,0,2,22,1,1,0,3,0.2,0.1667,0.75,0.4179,0,11,11,Tinggi,Malam/Dini Hari,Tinggi
1181,2011-02-21,1,0,2,23,1,1,0,3,0.2,0.1667,0.75,0.4179,0,2,2,Tinggi,Malam/Dini Hari,Tinggi
1182,2011-02-22,1,0,2,6,0,2,1,2,0.12,0.1212,0.8,0.2836,0,7,7,Sedang,Pagi (Berangkat),Sedang
1183,2011-02-22,1,0,2,7,0,2,1,2,0.12,0.1212,0.8,0.2836,0,40,40,Sedang,Pagi (Berangkat),Sedang
1184,2011-02-22,1,0,2,8,0,2,1,2,0.12,0.1212,0.8,0.2537,7,107,114,Sedang,Pagi (Berangkat),Sedang
1185,2011-02-22,1,0,2,9,0,2,1,2,0.14,0.1212,0.74,0.2537,5,101,106,Sedang,Pagi (Berangkat),Sedang
1186,2011-02-22,1,0,2,10,0,2,1,1,0.16,0.1818,0.69,0.0,0,44,44,Rendah,Siang (Rekreasi),Sedang
1187,2011-02-22,1,0,2,11,0,2,1,1,0.16,0.2273,0.64,0.0,7,43,50,Rendah,Siang (Rekreasi),Sedang
1188,2011-02-22,1,0,2,12,0,2,1,1,0.2,0.2273,0.59,0.1045,7,48,55,Rendah,Siang (Rekreasi),Sedang
1189,2011-02-22,1,0,2,13,0,2,1,1,0.22,0.2273,0.55,0.1642,3,52,55,Sedang,Siang (Rekreasi),Sedang
1190,2011-02-22,1,0,2,14,0,2,1,1,0.22,0.2273,0.55,0.194,9,49,58,Sedang,Siang (Rekreasi),Sedang
1191,2011-02-22,1,0,2,15,0,2,1,1,0.24,0.2273,0.48,0.194,2,67,69,Sedang,Siang (Rekreasi),Sedang
1192,2011-02-22,1,0,2,16,0,2,1,1,0.22,0.2273,0.51,0.1642,7,79,86,Sedang,Sore (Pulang),Sedang
1193,2011-02-22,1,0,2,17,0,2,1,1,0.22,0.2121,0.51,0.2239,8,188,196,Sedang,Sore (Pulang),Sedang
1194,2011-02-22,1,0,2,18,0,2,1,1,0.22,0.2273,0.47,0.1343,6,161,167,Rendah,Sore (Pulang),Sedang
1195,2011-02-22,1,0,2,19,0,2,1,1,0.2,0.1818,0.47,0.2836,4,114,118,Sedang,Sore (Pulang),Sedang
1196,2011-02-22,1,0,2,20,0,2,1,1,0.2,0.197,0.47,0.2239,3,102,105,Sedang,Malam/Dini Hari,Sedang
1197,2011-02-22,1,0,2,21,0,2,1,1,0.2,0.197,0.47,0.2537,2,80,82,Sedang,Malam/Dini Hari,Sedang
1198,2011-02-22,1,0,2,22,0,2,1,1,0.16,0.1515,0.43,0.2537,1,76,77,Sedang,Malam/Dini Hari,Sedang
1199,2011-02-22,1,0,2,23,0,2,1,1,0.16,0.1515,0.43,0.2537,3,18,21,Sedang,Malam/Dini Hari,Sedang
1200,2011-02-23,1,0,2,0,0,3,1,1,0.14,0.1364,0.5,0.194,0,6,6,Sedang,Malam/Dini Hari,Rendah
1201,2011-02-23,1,0,2,1,0,3,1,1,0.14,0.1515,0.46,0.1642,0,4,4,Sedang,Malam/Dini Hari,Rendah
1202,2011-02-23,1,0,2,2,0,3,1,1,0.12,0.1515,0.5,0.1343,0,1,1,Rendah,Malam/Dini Hari,Rendah
1203,2011-02-23,1,0,2,3,0,3,1,1,0.12,0.1364,0.5,0.1642,0,2,2,Sedang,Malam/Dini Hari,Rendah
1204,2011-02-23,1,0,2,5,0,3,1,1,0.12,0.1515,0.5,0.1045,0,8,8,Rendah,Pagi (Berangkat),Rendah
1205,2011-02-23,1,0,2,6,0,3,1,1,0.12,0.1515,0.5,0.1045,0,36,36,Rendah,Pagi (Berangkat),Rendah
1206,2011-02-23,1,0,2,7,0,3,1,1,0.12,0.1515,0.54,0.1343,2,94,96,Rendah,Pagi (Berangkat),Rendah
1207,2011-02-23,1,0,2,8,0,3,1,1,0.14,0.1515,0.54,0.1642,8,227,235,Sedang,Pagi (Berangkat),Rendah
1208,2011-02-23,1,0,2,9,0,3,1,1,0.18,0.2121,0.51,0.0896,9,130,139,Rendah,Pagi (Berangkat),Rendah
1209,2011-02-23,1,0,2,10,0,3,1,1,0.2,0.2576,0.4,0.0,4,47,51,Rendah,Siang (Rekreasi),Rendah
1210,2011-02-23,1,0,2,11,0,3,1,1,0.24,0.2576,0.41,0.1045,16,53,69,Rendah,Siang (Rekreasi),Rendah
1211,2011-02-23,1,0,2,12,0,3,1,1,0.26,0.2879,0.35,0.0896,11,56,67,Rendah,Siang (Rekreasi),Rendah
1212,2011-02-23,1,0,2,13,0,3,1,1,0.3,0.3182,0.28,0.0896,9,78,87,Rendah,Siang (Rekreasi),Rendah
1213,2011-02-23,1,0,2,14,0,3,1,1,0.32,0.3333,0.29,0.1045,17,61,78,Rendah,Siang (Rekreasi),Rendah
1214,2011-02-23,1,0,2,15,0,3,1,1,0.34,0.3485,0.25,0.0896,18,54,72,Rendah,Siang (Rekreasi),Rendah
1215,2011-02-23,1,0,2,16,0,3,1,1,0.34,0.3636,0.25,0.0,15,79,94,Rendah,Sore (Pulang),Rendah
1216,2011-02-23,1,0,2,17,0,3,1,1,0.34,0.3485,0.25,0.0896,15,207,222,Rendah,Sore (Pulang),Rendah
1217,2011-02-23,1,0,2,18,0,3,1,1,0.32,0.3333,0.26,0.0896,3,206,209,Rendah,Sore (Pulang),Rendah
1218,2011-02-23,1,0,2,19,0,3,1,1,0.3,0.3333,0.33,0.0,6,135,141,Rendah,Sore (Pulang),Rendah
1219,2011-02-23,1,0,2,20,0,3,1,1,0.24,0.2424,0.6,0.1642,2,107,109,Sedang,Malam/Dini Hari,Rendah
1220,2011-02-23,1,0,2,21,0,3,1,1,0.24,0.2879,0.48,0.0,2,89,91,Rendah,Malam/Dini Hari,Rendah
1221,2011-02-23,1,0,2,22,0,3,1,1,0.24,0.2879,0.48,0.0,1,60,61,Rendah,Malam/Dini Hari,Rendah
1222,2011-02-23,1,0,2,23,0,3,1,1,0.22,0.2576,0.55,0.0896,1,38,39,Rendah,Malam/Dini Hari,Rendah
1223,2011-02-24,1,0,2,0,0,4,1,1,0.22,0.2576,0.55,0.0896,0,11,11,Rendah,Malam/Dini Hari,Sedang
1224,2011-02-24,1,0,2,1,0,4,1,1,0.22,0.2576,0.6,0.0896,0,7,7,Rendah,Malam/Dini Hari,Sedang
1225,2011-02-24,1,0,2,2,0,4,1,1,0.2,0.2273,0.64,0.0896,0,4,4,Rendah,Malam/Dini Hari,Sedang
1226,2011-02-24,1,0,2,3,0,4,1,1,0.2,0.2121,0.64,0.1343,0,2,2,Rendah,Malam/Dini Hari,Sedang
1227,2011-02-24,1,0,2,5,0,4,1,1,0.2,0.2121,0.69,0.1343,1,3,4,Rendah,Pagi (Berangkat),Sedang
1228,2011-02-24,1,0,2,6,0,4,1,1,0.2,0.197,0.69,0.194,0,58,58,Sedang,Pagi (Berangkat),Sedang
1229,2011-02-24,1,0,2,7,0,4,1,1,0.2,0.197,0.72,0.194,0,104,104,Sedang,Pagi (Berangkat),Sedang
1230,2011-02-24,1,0,2,8,0,4,1,1,0.24,0.2273,0.7,0.2239,8,244,252,Sedang,Pagi (Berangkat),Sedang
1231,2011-02-24,1,0,2,9,0,4,1,2,0.24,0.2121,0.75,0.2985,4,133,137,Sedang,Pagi (Berangkat),Sedang
1232,2011-02-24,1,0,2,10,0,4,1,2,0.26,0.2424,0.7,0.2836,8,49,57,Sedang,Siang (Rekreasi),Sedang
1233,2011-02-24,1,0,2,11,0,4,1,2,0.32,0.2879,0.57,0.3881,8,71,79,Tinggi,Siang (Rekreasi),Sedang
1234,2011-02-24,1,0,2,12,0,4,1,2,0.36,0.3333,0.53,0.3582,10,85,95,Tinggi,Siang (Rekreasi),Sedang
1235,2011-02-24,1,0,2,13,0,4,1,2,0.38,0.3939,0.54,0.2985,16,72,88,Sedang,Siang (Rekreasi),Sedang
1236,2011-02-24,1,0,2,14,0,4,1,2,0.4,0.4091,0.5,0.2985,2,67,69,Sedang,Siang (Rekreasi),Sedang
1237,2011-02-24,1,0,2,15,0,4,1,3,0.4,0.4091,0.54,0.3881,5,58,63,Tinggi,Siang (Rekreasi),Sedang
1238,2011-02-24,1,0,2,16,0,4,1,3,0.38,0.3939,0.62,0.2836,4,67,71,Sedang,Sore (Pulang),Sedang
1239,2011-02-24,1,0,2,17,0,4,1,3,0.36,0.3485,0.66,0.194,9,168,177,Sedang,Sore (Pulang),Sedang
1240,2011-02-24,1,0,2,18,0,4,1,2,0.34,0.303,0.87,0.3284,5,132,137,Tinggi,Sore (Pulang),Sedang
1241,2011-02-24,1,0,2,19,0,4,1,3,0.34,0.303,0.93,0.2985,3,112,115,Sedang,Sore (Pulang),Sedang
1242,2011-02-24,1,0,2,20,0,4,1,2,0.34,0.303,0.93,0.3582,2,87,89,Tinggi,Malam/Dini Hari,Sedang
1243,2011-02-24,1,0,2,21,0,4,1,2,0.34,0.303,0.87,0.3284,7,76,83,Tinggi,Malam/Dini Hari,Sedang
1244,2011-02-24,1,0,2,22,0,4,1,3,0.34,0.3182,0.87,0.2836,5,50,55,Sedang,Malam/Dini Hari,Sedang
